item_id,subset,task,reference_label,origin,qc_family,injected_wrong_label,source_row_id,source_sha256
cecbb2edc060,subset_a,qa_validity,valid,audit_sample,,,b59c2a236c4e10cc,1469c0fdf3b8e2e6531d979a963626031d80c4107273ff008e3ff5896324f36e
599ccc80d7a5,subset_a,qa_validity,valid,audit_sample,,,9ee6d45cfc8699be,1469c0fdf3b8e2e6531d979a963626031d80c4107273ff008e3ff5896324f36e
79c5f504c9b3,subset_a,qa_validity,valid,audit_sample,,,c153911247ae2bb5,1469c0fdf3b8e2e6531d979a963626031d80c4107273ff008e3ff5896324f36e
7bca4bfdc6b0,subset_a,qa_validity,valid,audit_sample,,,a6f099b5bb0d99c4,1469c0fdf3b8e2e6531d979a963626031d80c4107273ff008e3ff5896324f36e
8707e431282a,subset_a,qa_validity,valid,audit_sample,,,b92ac97704b683a7,1469c0fdf3b8e2e6531d979a963626031d80c4107273ff008e3ff5896324f36e
592368707248,subset_a,qa_validity,valid,audit_sample,,,5256d1f2c1dd5708,1469c0fdf3b8e2e6531d979a963626031d80c4107273ff008e3ff5896324f36e
4883220d8ede,subset_a,qa_validity,invalid,qc_control,false_ood,valid,1c634ef380a5da0f,1469c0fdf3b8e2e6531d979a963626031d80c4107273ff008e3ff5896324f36e
513a00673d78,subset_a,qa_validity,valid,audit_sample,,,da3d204caf163ae3,1469c0fdf3b8e2e6531d979a963626031d80c4107273ff008e3ff5896324f36e
91025e2444be,subset_a,qa_validity,valid,audit_sample,,,844ba6600f79b937,1469c0fdf3b8e2e6531d979a963626031d80c4107273ff008e3ff5896324f36e
bda209b16f79,subset_a,qa_validity,valid,audit_sample,,,0e59ac2c01f44eee,1469c0fdf3b8e2e6531d979a963626031d80c4107273ff008e3ff5896324f36e
9e01b671ec27,subset_a,qa_validity,valid,audit_sample,,,4287aff4c425c033,1469c0fdf3b8e2e6531d979a963626031d80c4107273ff008e3ff5896324f36e
2ae6fdf6a8d2,subset_a,qa_validity,valid,audit_sample,,,fcc658047a0657e1,1469c0fdf3b8e2e6531d979a963626031d80c4107273ff008e3ff5896324f36e
8e55884425bb,subset_a,qa_validity,valid,audit_sample,,,28707e076132f902,1469c0fdf3b8e2e6531d979a963626031d80c4107273ff008e3ff5896324f36e
97b0e998177e,subset_a,qa_validity,valid,audit_sample,,,d8b970e1312b80c0,1469c0fdf3b8e2e6531d979a963626031d80c4107273ff008e3ff5896324f36e
760a417ef9c8,subset_a,qa_validity,valid,audit_sample,,,6f2373713d060e57,1469c0fdf3b8e2e6531d979a963626031d80c4107273ff008e3ff5896324f36e
b5d8c23d186d,subset_a,qa_validity,valid,audit_sample,,,1cd5504b8fe325b5,1469c0fdf3b8e2e6531d979a963626031d80c4107273ff008e3ff5896324f36e
607218b6d21d,subset_a,qa_validity,valid,audit_sample,,,1884754b02a1866f,1469c0fdf3b8e2e6531d979a963626031d80c4107273ff008e3ff5896324f36e
842ec1b46e62,subset_a,qa_validity,valid,audit_sample,,,dad57be39ae71ea0,1469c0fdf3b8e2e6531d979a963626031d80c4107273ff008e3ff5896324f36e
e566bd3fc304,subset_a,qa_validity,valid,audit_sample,,,ec9ebfe721a83d5f,1469c0fdf3b8e2e6531d979a963626031d80c4107273ff008e3ff5896324f36e
a508cc39a8ab,subset_a,qa_validity,valid,audit_sample,,,6e8d67bf864ae59d,1469c0fdf3b8e2e6531d979a963626031d80c4107273ff008e3ff5896324f36e
9cb1d725ba3d,subset_a,qa_validity,valid,audit_sample,,,7dcc1503bc941418,1469c0fdf3b8e2e6531d979a963626031d80c4107273ff008e3ff5896324f36e
8f34e8e42b22,subset_a,qa_validity,valid,audit_sample,,,d32854a7b7150a7c,1469c0fdf3b8e2e6531d979a963626031d80c4107273ff008e3ff5896324f36e
184d3657efc6,subset_a,qa_validity,valid,audit_sample,,,79511a0128667622,1469c0fdf3b8e2e6531d979a963626031d80c4107273ff008e3ff5896324f36e
4c5b1b77c7f5,subset_a,qa_validity,valid,audit_sample,,,f0d78409c6c5d415,1469c0fdf3b8e2e6531d979a963626031d80c4107273ff008e3ff5896324f36e
b67b8639f34f,subset_a,qa_validity,valid,audit_sample,,,5477b641c34288d4,1469c0fdf3b8e2e6531d979a963626031d80c4107273ff008e3ff5896324f36e
8f224060bf6f,subset_a,qa_validity,valid,audit_sample,,,671f916f9b1f1a67,1469c0fdf3b8e2e6531d979a963626031d80c4107273ff008e3ff5896324f36e
d80c9c8a1790,subset_a,qa_validity,valid,audit_sample,,,962ee3b86d2ec6f1,1469c0fdf3b8e2e6531d979a963626031d80c4107273ff008e3ff5896324f36e
212b0bde8947,subset_a,qa_validity,invalid,qc_control,answer_swap,valid,379736bea651748f,1469c0fdf3b8e2e6531d979a963626031d80c4107273ff008e3ff5896324f36e
793218dc189c,subset_a,qa_validity,valid,audit_sample,,,999573098653b9ba,1469c0fdf3b8e2e6531d979a963626031d80c4107273ff008e3ff5896324f36e
72ddd9f0ebce,subset_a,qa_validity,valid,audit_sample,,,8c8e927e08837fc1,1469c0fdf3b8e2e6531d979a963626031d80c4107273ff008e3ff5896324f36e
e63a36ec56eb,subset_a,qa_validity,invalid,qc_control,answer_swap,valid,61cea6bf5cb0c54e,1469c0fdf3b8e2e6531d979a963626031d80c4107273ff008e3ff5896324f36e
17ccd990453c,subset_a,qa_validity,invalid,qc_control,answer_swap,valid,d5461748dd6773c6,1469c0fdf3b8e2e6531d979a963626031d80c4107273ff008e3ff5896324f36e
55b468b600f5,subset_a,qa_validity,invalid,qc_control,answer_swap,valid,cbc37d1b8648852a,1469c0fdf3b8e2e6531d979a963626031d80c4107273ff008e3ff5896324f36e
53802caf4271,subset_a,qa_validity,valid,audit_sample,,,35df993211e26780,1469c0fdf3b8e2e6531d979a963626031d80c4107273ff008e3ff5896324f36e
11c418064bbd,subset_a,qa_validity,invalid,qc_control,answer_swap,valid,325cee5fe3d442ed,1469c0fdf3b8e2e6531d979a963626031d80c4107273ff008e3ff5896324f36e
ee5a5cd5fdbd,subset_a,qa_validity,valid,audit_sample,,,c54f008fd02df95f,1469c0fdf3b8e2e6531d979a963626031d80c4107273ff008e3ff5896324f36e
b5b86df2f1c5,subset_b,safety,malicious,audit_sample,,,4681887dfbd8e695,a2feb9ac5e2528ba5134e59c5d8c29b371afa02c4184a8ecbdbe8c21128a189c
f15a1076674d,subset_b,safety,safe,audit_sample,,,e643be858d3f67f0,a2feb9ac5e2528ba5134e59c5d8c29b371afa02c4184a8ecbdbe8c21128a189c
88ae804cce43,subset_b,safety,malicious,audit_sample,,,1494ca76efcc226c,a2feb9ac5e2528ba5134e59c5d8c29b371afa02c4184a8ecbdbe8c21128a189c
4109d7b89761,subset_b,safety,safe,qc_control,label_flip,malicious,a4a502057c0eb83e,a2feb9ac5e2528ba5134e59c5d8c29b371afa02c4184a8ecbdbe8c21128a189c
3fefc0ab6d48,subset_b,safety,safe,qc_control,label_flip,malicious,78cb208d9b742e6e,a2feb9ac5e2528ba5134e59c5d8c29b371afa02c4184a8ecbdbe8c21128a189c
cb772b391d73,subset_b,safety,safe,audit_sample,,,59450b8c3b86c002,a2feb9ac5e2528ba5134e59c5d8c29b371afa02c4184a8ecbdbe8c21128a189c
ce4dc4865c6a,subset_b,safety,safe,audit_sample,,,4f560c6673c90847,a2feb9ac5e2528ba5134e59c5d8c29b371afa02c4184a8ecbdbe8c21128a189c
b5990f115560,subset_b,safety,malicious,audit_sample,,,c6eb76eefd341ccd,a2feb9ac5e2528ba5134e59c5d8c29b371afa02c4184a8ecbdbe8c21128a189c
b6e01bb7211b,subset_b,safety,malicious,audit_sample,,,8c7a5da297667d0c,a2feb9ac5e2528ba5134e59c5d8c29b371afa02c4184a8ecbdbe8c21128a189c
5e7ff7175b23,subset_b,safety,safe,audit_sample,,,fc5faedd0e4b8a3a,a2feb9ac5e2528ba5134e59c5d8c29b371afa02c4184a8ecbdbe8c21128a189c
777e031b09ed,subset_b,safety,malicious,audit_sample,,,408aeaa6de8fbaaf,a2feb9ac5e2528ba5134e59c5d8c29b371afa02c4184a8ecbdbe8c21128a189c
06b730f8cbb6,subset_b,safety,safe,audit_sample,,,953ab57da3227249,a2feb9ac5e2528ba5134e59c5d8c29b371afa02c4184a8ecbdbe8c21128a189c
7d3f97332244,subset_b,safety,malicious,audit_sample,,,d7350c1fc55fd0f6,a2feb9ac5e2528ba5134e59c5d8c29b371afa02c4184a8ecbdbe8c21128a189c
2fe9f3d8e4d5,subset_b,safety,safe,audit_sample,,,3ca1a360cd06fb93,a2feb9ac5e2528ba5134e59c5d8c29b371afa02c4184a8ecbdbe8c21128a189c
